age,gender,height_cm,weight_kg,activity_level,activity_level_encoded,calorie_needs,protein_g,fat_g,carb_g
43,0,151,86,sedentary,1.2,1713.3,85.665,57.11,214.1625
31,1,187,87,sedentary,1.2,2266.5,113.325,75.55,283.3125
56,0,188,70,sedentary,1.2,1720.8,86.04,57.36,215.1
44,0,175,89,light,1.375,2203.78125,110.1890625,73.459375,275.47265625
26,0,195,88,very_active,1.9,3434.725,171.73625,114.49083333333334,429.340625
32,1,199,70,light,1.375,2459.53125,122.9765625,81.984375,307.44140625
32,1,164,59,light,1.375,2007.5,100.375,66.91666666666667,250.9375
43,0,183,87,sedentary,1.2,1965.3,98.265,65.50999999999999,245.6625
59,1,191,95,light,1.375,2548.90625,127.4453125,84.96354166666667,318.61328125
30,0,193,53,sedentary,1.2,1710.3,85.515,57.00999999999999,213.7875
49,0,198,94,very_active,1.9,3365.85,168.29250000000002,112.195,420.73125
56,0,189,69,active,1.725,2467.18125,123.35906250000001,82.239375,308.39765625
49,0,160,66,sedentary,1.2,1504.8,75.24,50.16,188.1
21,1,152,56,very_active,1.9,2679.0,133.95000000000002,89.3,334.875
47,1,155,53,active,1.725,2188.59375,109.4296875,72.953125,273.57421875
54,1,158,78,moderate,1.55,2328.875,116.44375000000001,77.62916666666666,291.109375
40,0,155,63,sedentary,1.2,1485.3,74.265,49.51,185.6625
56,0,158,52,sedentary,1.2,1279.8,63.99,42.66,159.975
62,0,188,73,moderate,1.55,2222.7000000000003,111.13500000000002,74.09,277.83750000000003
32,1,180,86,moderate,1.55,2836.5,141.82500000000002,94.55,354.5625
60,0,181,65,sedentary,1.2,1584.3,79.215,52.809999999999995,198.0375
46,1,190,53,moderate,1.55,2313.375,115.66875,77.1125,289.171875
53,1,199,73,light,1.375,2356.40625,117.8203125,78.546875,294.55078125
30,1,161,83,active,1.725,2917.40625,145.8703125,97.24687499999999,364.67578125
49,1,157,79,active,1.725,2641.40625,132.0703125,88.046875,330.17578125
24,1,157,67,active,1.725,2650.03125,132.5015625,88.334375,331.25390625
39,1,199,68,light,1.375,2383.90625,119.1953125,79.46354166666667,297.98828125
45,0,177,80,moderate,1.55,2356.3875000000003,117.81937500000002,78.54625000000001,294.54843750000003
19,0,169,68,very_active,1.9,2812.475,140.62375,93.74916666666667,351.559375
59,1,196,98,moderate,1.55,2968.25,148.4125,98.94166666666666,371.03125
62,1,156,95,sedentary,1.2,1944.0,97.2,64.8,243.0
23,0,160,68,active,1.725,2421.9,121.09500000000001,80.73,302.7375
45,1,169,71,moderate,1.55,2396.6875,119.83437500000001,79.88958333333333,299.5859375
45,1,165,73,very_active,1.9,2928.375,146.41875000000002,97.6125,366.046875
61,0,153,94,sedentary,1.2,1716.3,85.815,57.21,214.5375
61,1,155,61,light,1.375,1758.28125,87.9140625,58.609375,219.78515625
37,1,171,79,light,1.375,2308.28125,115.4140625,76.94270833333333,288.53515625
47,1,175,87,very_active,1.9,3294.125,164.70625,109.80416666666666,411.765625
28,0,152,80,sedentary,1.2,1738.8,86.94,57.96,217.35
45,0,190,85,active,1.725,2848.8375,142.441875,94.96125,356.1046875
42,0,191,68,moderate,1.55,2329.2625000000003,116.46312500000002,77.64208333333335,291.15781250000003
56,1,163,97,sedentary,1.2,2056.5,102.825,68.55,257.0625
50,1,160,94,light,1.375,2330.625,116.53125,77.6875,291.328125
18,0,167,85,very_active,1.9,3121.225,156.06125,104.04083333333332,390.153125
44,1,161,79,very_active,1.9,3004.375,150.21875,100.14583333333333,375.546875
30,1,172,98,moderate,1.55,2960.5,148.025,98.68333333333334,370.0625
58,1,161,82,very_active,1.9,2928.375,146.41875000000002,97.6125,366.046875
20,1,162,67,very_active,1.9,3016.25,150.8125,100.54166666666667,377.03125
56,1,174,98,sedentary,1.2,2151.0,107.55000000000001,71.69999999999999,268.875
23,0,194,77,active,1.725,2943.7125,147.18562500000002,98.12375,367.9640625
25,1,168,96,moderate,1.55,2929.5,146.475,97.65,366.1875
44,0,195,60,sedentary,1.2,1725.3,86.265,57.50999999999999,215.6625
26,1,185,94,active,1.725,3400.40625,170.02031250000002,113.346875,425.05078125
54,0,194,82,sedentary,1.2,1921.8,96.09,64.06,240.225
50,1,157,66,sedentary,1.2,1675.5,83.775,55.849999999999994,209.4375
59,0,178,55,very_active,1.9,2292.35,114.6175,76.41166666666666,286.54375
61,1,181,53,active,1.725,2348.15625,117.4078125,78.271875,293.51953125
41,0,193,69,moderate,1.55,2371.8875000000003,118.59437500000001,79.06291666666668,296.48593750000003
32,1,167,97,moderate,1.55,2881.0625,144.053125,96.03541666666666,360.1328125
49,0,155,96,active,1.725,2626.74375,131.3371875,87.558125,328.34296875
49,1,167,76,very_active,1.9,2971.125,148.55625,99.0375,371.390625
41,0,168,64,light,1.375,1820.5,91.025,60.68333333333333,227.5625
58,0,171,55,sedentary,1.2,1401.3,70.065,46.71,175.1625
29,1,186,96,very_active,1.9,3766.75,188.3375,125.55833333333332,470.84375
56,1,181,63,active,1.725,2563.78125,128.1890625,85.459375,320.47265625
19,0,190,60,sedentary,1.2,1837.8,91.89,61.25999999999999,229.725
20,1,152,88,moderate,1.55,2689.25,134.4625,89.64166666666667,336.15625
54,0,177,58,light,1.375,1725.96875,86.2984375,57.532291666666666,215.74609375
34,0,159,75,moderate,1.55,2189.7625000000003,109.48812500000003,72.99208333333334,273.72031250000003
19,0,184,65,active,1.725,2663.4,133.17000000000002,88.78,332.925
19,1,178,54,sedentary,1.2,1875.0,93.75,62.5,234.375
45,0,164,59,active,1.725,2120.025,106.00125000000001,70.6675,265.003125
40,0,182,99,sedentary,1.2,2119.7999999999997,105.99,70.66,264.97499999999997
54,1,156,52,very_active,1.9,2337.0,116.85000000000001,77.9,292.125
49,1,161,62,light,1.375,1906.09375,95.3046875,63.536458333333336,238.26171875
50,1,198,92,very_active,1.9,3633.75,181.6875,121.125,454.21875
18,1,179,98,very_active,1.9,3826.125,191.30625,127.53749999999998,478.265625
36,0,170,79,active,1.725,2607.3375,130.36687500000002,86.91125,325.9171875
19,0,180,94,light,1.375,2487.375,124.36875,82.9125,310.921875
61,0,173,55,sedentary,1.2,1398.3,69.915,46.60999999999999,174.7875
43,0,169,66,sedentary,1.2,1608.3,80.415,53.60999999999999,201.0375
49,1,186,94,moderate,1.55,2886.875,144.34375,96.22916666666667,360.859375
23,0,153,68,sedentary,1.2,1632.3,81.61500000000001,54.41,204.0375
49,0,177,91,active,1.725,2777.68125,138.8840625,92.589375,347.21015625
21,1,193,84,very_active,1.9,3697.875,184.89375,123.26249999999999,462.234375
28,0,169,95,very_active,1.9,3239.975,161.99875,107.99916666666667,404.996875
34,0,173,75,very_active,1.9,2850.475,142.52375,95.01583333333332,356.309375
55,0,199,54,light,1.375,1853.15625,92.6578125,61.771874999999994,231.64453125
41,0,198,78,sedentary,1.2,1981.8,99.09,66.06,247.725
22,0,181,86,active,1.725,2967.43125,148.3715625,98.914375,370.92890625
51,0,190,69,light,1.375,2009.5625,100.478125,66.98541666666667,251.1953125
23,1,185,98,moderate,1.55,3140.6875,157.034375,104.68958333333333,392.5859375
39,1,183,70,active,1.725,2852.71875,142.6359375,95.09062499999999,356.58984375
28,0,185,59,active,1.725,2493.05625,124.65281250000001,83.101875,311.63203125
33,0,151,54,active,1.725,1997.11875,99.85593750000001,66.570625,249.63984375
50,1,164,85,very_active,1.9,3097.0,154.85000000000002,103.23333333333332,387.125
26,0,183,55,active,1.725,2419.74375,120.9871875,80.658125,302.46796875
23,0,185,75,sedentary,1.2,1956.3,97.815,65.21,244.5375
33,0,155,53,active,1.725,2022.99375,101.14968750000001,67.433125,252.87421875
46,1,188,88,very_active,1.9,3477.0,173.85000000000002,115.89999999999999,434.625
20,0,191,88,active,1.725,3126.99375,156.34968750000002,104.233125,390.87421875
37,1,161,99,moderate,1.55,2815.1875,140.759375,93.83958333333334,351.8984375
53,0,152,84,moderate,1.55,2114.2000000000003,105.71000000000002,70.47333333333334,264.27500000000003
36,1,194,50,very_active,1.9,2921.25,146.0625,97.375,365.15625
43,1,167,73,sedentary,1.2,1876.5,93.825,62.54999999999999,234.5625
20,0,189,85,sedentary,1.2,2124.2999999999997,106.21499999999999,70.80999999999999,265.53749999999997
36,1,170,55,light,1.375,1976.5625,98.828125,65.88541666666667,247.0703125
37,0,164,90,very_active,1.9,3000.1,150.005,100.00333333333333,375.0125
49,1,182,95,active,1.725,3186.9375,159.346875,106.23124999999999,398.3671875
24,0,184,93,very_active,1.9,3418.1,170.905,113.93666666666665,427.2625
58,0,175,80,light,1.375,1983.78125,99.1890625,66.12604166666667,247.97265625
50,1,157,69,very_active,1.9,2709.875,135.49375,90.32916666666667,338.734375
57,0,185,73,very_active,1.9,2736.475,136.82375,91.21583333333334,342.059375
56,0,197,74,light,1.375,2104.09375,105.2046875,70.13645833333334,263.01171875
35,1,179,85,sedentary,1.2,2158.5,107.92500000000001,71.94999999999999,269.8125
57,0,172,70,active,1.725,2292.525,114.62625000000001,76.4175,286.565625
18,0,191,79,light,1.375,2382.53125,119.1265625,79.41770833333334,297.81640625
28,1,193,73,moderate,1.55,2791.9375,139.596875,93.06458333333333,348.9921875
45,1,163,93,sedentary,1.2,2074.5,103.72500000000001,69.15,259.3125
42,0,163,91,moderate,1.55,2414.5125000000003,120.72562500000002,80.48375000000001,301.81406250000003
40,0,151,79,sedentary,1.2,1647.3,82.36500000000001,54.91,205.9125
48,1,186,71,active,1.725,2824.6875,141.234375,94.15625,353.0859375
47,1,154,77,active,1.725,2591.8125,129.59062500000002,86.39375,323.9765625
59,0,187,56,very_active,1.9,2418.225,120.91125,80.6075,302.278125
52,1,194,84,moderate,1.55,2786.125,139.30625,92.87083333333334,348.265625
24,0,190,77,sedentary,1.2,2011.8,100.59,67.06,251.475
33,0,196,63,active,1.725,2637.525,131.87625,87.9175,329.690625
43,0,163,59,light,1.375,1695.03125,84.7515625,56.501041666666666,211.87890625
19,0,188,65,active,1.725,2706.525,135.32625000000002,90.2175,338.315625
18,0,174,65,light,1.375,2043.9375,102.196875,68.13125,255.4921875
29,1,169,80,sedentary,1.2,2059.5,102.97500000000001,68.65,257.4375
22,1,151,91,active,1.725,3016.59375,150.8296875,100.553125,377.07421875
54,1,188,74,active,1.725,2846.25,142.3125,94.875,355.78125
49,1,155,62,sedentary,1.2,1618.5,80.92500000000001,53.949999999999996,202.3125
26,0,166,55,active,1.725,2236.4625,111.823125,74.54875,279.5578125
58,0,174,93,light,1.375,2153.9375,107.696875,71.79791666666667,269.2421875
52,0,177,58,active,1.725,2182.55625,109.1278125,72.751875,272.81953125
36,0,151,94,moderate,1.55,2391.2625000000003,119.56312500000001,79.70875000000001,298.90781250000003
33,1,184,85,very_active,1.9,3496.0,174.8,116.53333333333333,437.0
20,0,186,92,light,1.375,2504.5625,125.228125,83.48541666666667,313.0703125
37,0,154,69,moderate,1.55,2025.075,101.25375000000001,67.5025,253.134375
41,1,150,67,sedentary,1.2,1689.0,84.45,56.3,211.125
50,1,189,92,light,1.375,2552.34375,127.6171875,85.078125,319.04296875
41,1,161,70,very_active,1.9,2861.875,143.09375,95.39583333333333,357.734375
28,1,185,53,very_active,1.9,2947.375,147.36875,98.24583333333334,368.421875
25,0,194,99,sedentary,1.2,2299.7999999999997,114.99,76.66,287.47499999999997
53,0,172,82,sedentary,1.2,1762.8,88.14,58.75999999999999,220.35
55,1,196,76,light,1.375,2358.125,117.90625,78.60416666666667,294.765625
57,0,180,56,active,1.725,2137.275,106.86375000000001,71.2425,267.159375
37,0,160,55,sedentary,1.2,1444.8,72.24,48.16,180.6
52,0,159,64,active,1.725,2091.99375,104.59968750000002,69.733125,261.49921875
42,1,152,67,moderate,1.55,2193.25,109.66250000000001,73.10833333333333,274.15625
52,0,163,81,very_active,1.9,2674.725,133.73625,89.15749999999998,334.340625
42,1,165,60,active,1.725,2460.28125,123.01406250000001,82.009375,307.53515625
46,0,159,69,very_active,1.9,2456.225,122.81125,81.87416666666667,307.028125
35,0,178,73,active,1.725,2598.7125,129.93562500000002,86.62375,324.8390625
63,0,159,64,moderate,1.55,1794.5125,89.72562500000001,59.81708333333333,224.3140625
35,1,161,97,sedentary,1.2,2167.5,108.375,72.25,270.9375
19,0,179,56,moderate,1.55,2205.2625000000003,110.26312500000002,73.50875,275.65781250000003
52,1,190,70,sedentary,1.2,1959.0,97.95,65.3,244.875
33,1,150,91,sedentary,1.2,2025.0,101.25,67.5,253.125
58,1,154,75,very_active,1.9,2712.25,135.6125,90.40833333333333,339.03125
53,0,169,93,moderate,1.55,2418.3875000000003,120.91937500000002,80.61291666666666,302.29843750000003
50,0,157,63,active,1.725,2070.43125,103.52156250000002,69.014375,258.80390625
21,0,192,86,moderate,1.55,2780.7000000000003,139.03500000000003,92.69,347.58750000000003
50,0,161,70,very_active,1.9,2460.975,123.04875,82.03249999999998,307.621875
31,1,150,67,sedentary,1.2,1749.0,87.45,58.29999999999999,218.625
38,1,169,54,very_active,1.9,2681.375,134.06875,89.37916666666666,335.171875
37,1,177,52,light,1.375,1988.59375,99.4296875,66.28645833333333,248.57421875
25,0,192,72,light,1.375,2246.75,112.3375,74.89166666666667,280.84375
24,1,186,75,active,1.725,3100.6875,155.034375,103.35624999999999,387.5859375
20,0,196,86,very_active,1.9,3465.6,173.28,115.51999999999998,433.2
34,1,186,73,active,1.725,2979.9375,148.99687500000002,99.33125,372.4921875
50,0,161,98,active,1.725,2717.30625,135.86531250000002,90.576875,339.66328125
29,0,186,68,light,1.375,2112.6875,105.634375,70.42291666666667,264.0859375
39,1,198,74,active,1.725,3083.4375,154.171875,102.78125,385.4296875
39,1,198,70,light,1.375,2402.8125,120.140625,80.09375,300.3515625
63,1,193,61,sedentary,1.2,1807.5,90.375,60.25,225.9375
47,1,177,90,very_active,1.9,3374.875,168.74375,112.49583333333334,421.859375
55,0,196,82,active,1.725,2775.525,138.77625,92.5175,346.940625
55,1,164,99,light,1.375,2399.375,119.96875,79.97916666666667,299.921875
62,1,155,53,moderate,1.55,1850.3125,92.515625,61.677083333333336,231.2890625
25,1,193,91,active,1.725,3443.53125,172.17656250000002,114.78437500000001,430.44140625
44,0,169,56,sedentary,1.2,1482.3,74.115,49.41,185.2875
44,0,199,71,sedentary,1.2,1887.3,94.36500000000001,62.91,235.9125
51,1,163,82,moderate,1.55,2462.5625,123.12812500000001,82.08541666666666,307.8203125
38,0,151,66,light,1.375,1722.53125,86.1265625,57.41770833333333,215.31640625
47,1,158,73,active,1.725,2565.9375,128.296875,85.53125,320.7421875
50,0,186,83,light,1.375,2174.5625,108.728125,72.48541666666667,271.8203125
45,0,169,77,sedentary,1.2,1728.3,86.415,57.61,216.0375
64,0,175,92,light,1.375,2107.53125,105.3765625,70.25104166666667,263.44140625
50,0,178,90,sedentary,1.2,1921.8,96.09,64.06,240.225
22,1,150,88,light,1.375,2354.6875,117.734375,78.48958333333333,294.3359375
36,1,184,71,moderate,1.55,2611.75,130.5875,87.05833333333334,326.46875
21,1,155,98,very_active,1.9,3512.625,175.63125000000002,117.08749999999999,439.078125
52,0,186,66,moderate,1.55,2172.3250000000003,108.61625000000002,72.41083333333334,271.54062500000003
34,1,154,83,moderate,1.55,2522.625,126.13125000000001,84.0875,315.328125
61,1,182,55,very_active,1.9,2636.25,131.8125,87.875,329.53125
45,1,198,95,very_active,1.9,3738.25,186.91250000000002,124.60833333333332,467.28125
47,0,163,55,active,1.725,2022.99375,101.14968750000001,67.433125,252.87421875
46,0,161,83,active,1.725,2493.05625,124.65281250000001,83.101875,311.63203125
63,0,191,50,moderate,1.55,1887.5125,94.37562500000001,62.91708333333333,235.9390625
23,1,169,59,moderate,1.55,2381.1875,119.059375,79.37291666666665,297.6484375
52,1,199,70,sedentary,1.2,2026.5,101.325,67.55,253.3125
58,1,173,54,sedentary,1.2,1603.5,80.17500000000001,53.449999999999996,200.4375
54,0,192,51,active,1.725,2206.275,110.31375000000001,73.5425,275.784375
41,0,183,71,active,1.725,2566.36875,128.31843750000002,85.545625,320.79609375
46,1,174,97,sedentary,1.2,2199.0,109.95,73.3,274.875
63,0,199,51,sedentary,1.2,1533.3,76.665,51.10999999999999,191.6625
48,0,178,59,light,1.375,1789.5625,89.478125,59.65208333333333,223.6953125
52,0,188,83,light,1.375,2178.0,108.9,72.6,272.25
50,0,180,65,sedentary,1.2,1636.8,81.84,54.559999999999995,204.6
38,1,196,97,light,1.375,2763.75,138.1875,92.125,345.46875
49,0,192,88,very_active,1.9,3180.6,159.03,106.02,397.575
40,0,199,71,active,1.725,2747.49375,137.37468750000002,91.583125,343.43671875
50,0,172,61,active,1.725,2197.65,109.88250000000001,73.255,274.70625
20,0,193,73,sedentary,1.2,2010.3,100.515,67.00999999999999,251.2875
35,1,187,96,moderate,1.55,3036.0625,151.803125,101.20208333333333,379.5078125
42,1,169,89,sedentary,1.2,2089.5,104.47500000000001,69.65,261.1875
59,0,172,87,light,1.375,2047.375,102.36875,68.24583333333334,255.921875
48,0,194,59,moderate,1.55,2172.3250000000003,108.61625000000002,72.41083333333334,271.54062500000003
